PIPELINE-REFERENCE,N_S_,WELD-NO,WELD-TYPE,PIPING-SPEC,ISO NO,SPOOL-DRAWING-SEQUENCE-NUMBER,SPOOL-ID,SCHEDULE,,Spool-Size-Weld-Spec,
65217-P1B386C-0,4-Mar,FA18,SW,P1B386C,910,910-1,0-7114-910-1,,,910-143894SWP1B386C,#N/A
65217-P1B386C-0,4-Mar,FA16,SW,P1B386C,910,910-1,0-7114-910-1,,,910-143894SWP1B386C,#N/A
65217-P1B386C-0,4-Mar,FA17,SW,P1B386C,910,910-1,0-7114-910-1,,,910-143894SWP1B386C,#N/A
65221-P1B386C-2,4-Mar,FA19,SW,P1B386C,1070,1070-2,2-7114-1070-2,,,1070-243894SWP1B386C,#N/A
65221-P1B386C-2,4-Mar,FA20,SW,P1B386C,1070,1070-2,2-7114-1070-2,,,1070-243894SWP1B386C,#N/A
65221-P1B386C-2,4-Mar,FA18,SW,P1B386C,1070,1070-2,2-7114-1070-2,,,1070-243894SWP1B386C,#N/A
65221-P1B386C-2,4-Mar,FA17,SW,P1B386C,1070,1070-2,2-7114-1070-2,,,1070-243894SWP1B386C,#N/A
65221-P1B386C-2,4-Mar,FA16,SW,P1B386C,1070,1070-2,2-7114-1070-2,,,1070-243894SWP1B386C,#N/A
65221-P1B386C-2,4-Mar,FA15,SW,P1B386C,1070,1070-2,2-7114-1070-2,,,1070-243894SWP1B386C,#N/A
65221-P1B386C-2,4-Mar,FA13,SW,P1B386C,1070,1070-2,2-7114-1070-2,,,1070-243894SWP1B386C,#N/A
65221-P1B386C-2,4-Mar,FA12,SW,P1B386C,1070,1070-2,2-7114-1070-2,,,1070-243894SWP1B386C,#N/A
65221-P1B386C-2,4-Mar,FA11,SW,P1B386C,1070,1070-2,2-7114-1070-2,,,1070-243894SWP1B386C,#N/A
65221-P1B386C-2,4-Mar,FA10,SW,P1B386C,1070,1070-2,2-7114-1070-2,,,1070-243894SWP1B386C,#N/A
65221-P1B386C-2,4-Mar,FA9,SW,P1B386C,1070,1070-2,2-7114-1070-2,,,1070-243894SWP1B386C,#N/A
65221-P1B386C-2,4-Mar,FA14,SW,P1B386C,1070,1070-2,2-7114-1070-2,,,1070-243894SWP1B386C,#N/A
65242-P1A4L-2,4-Mar,FA4,BW,P1A4L,1078,1078-1,2-7114-1078-1,XS,,1078-143894BWP1A4L,#N/A
65242-P1A4L-2,4-Mar,FA5,BW,P1A4L,1078,1078-1,2-7114-1078-1,XS,,1078-143894BWP1A4L,#N/A
65242-P1A4L-2,4-Mar,FA2,BW,P1A4L,1078,1078-1,2-7114-1078-1,XS,,1078-143894BWP1A4L,#N/A
65242-P1A4L-2,4-Mar,FA1,BW,P1A4L,1078,1078-1,2-7114-1078-1,XS,,1078-143894BWP1A4L,#N/A
65242-P1A4L-2,4-Mar,FA6,BW,P1A4L,1078,1078-1,2-7114-1078-1,XS,,1078-143894BWP1A4L,#N/A
65242-P1A4L-2,4-Mar,FA3,BW,P1A4L,1078,1078-1,2-7114-1078-1,XS,,1078-143894BWP1A4L,#N/A
65242-P1A4L-2,4-Mar,FA8,BW,P1A4L,1078,1078-2,2-7114-1078-2,XS,,1078-243894BWP1A4L,#N/A
65242-P1A4L-2,4-Mar,FA9,BW,P1A4L,1078,1078-2,2-7114-1078-2,XS,,1078-243894BWP1A4L,#N/A
65242-P1A4L-2,4-Mar,FA10,BW,P1A4L,1078,1078-2,2-7114-1078-2,XS,,1078-243894BWP1A4L,#N/A
64345-P1B43BL-3,4-Mar,FA11,BW,P1B43BL,1034,1034-2,3-7114-1034-2,10S,,1034-243894BWP1B43BL,#N/A
64345-P1B43BL-3,4-Mar,FA10,BW,P1B43BL,1034,1034-2,3-7114-1034-2,10S,,1034-243894BWP1B43BL,#N/A
64345-P1B43BL-3,4-Mar,FA12,BW,P1B43BL,1035,1035-1,3-7114-1035-1,10S,,1035-143894BWP1B43BL,#N/A
64345-P1B43BL-3,4-Mar,FA45,BW,P1B43BL,1036,1036-2,3-7114-1036-2,10S,,1036-243894BWP1B43BL,#N/A
