BOM PATH, POS, TAG NUMBER, SIZE, DESCRIPTION, LIST QUANTITY, UNIT, TRANSMITTL, GROUP-PERF, SKETCH,, PRIORITY, SPEC, CWP,SCHEDULE,CLASS,l
PIPING/FIELD/J04/322FA,1,VBCAUAAITLZ024~1 1/2,1 1/2,"- BAGKCN BALL VALVE; ASME CL 150; FLGD RF; SS; LVR HDL OPR; FULL PORT  - OE Status  0 CUST TAG: FB8:L25BH3AF - L25BH3AF 1 1/2""",1,ea,1,VALVES / IN-LINE ITEMS,322FA,,-,FB8,1,None,,
PIPING/FIELD/J04/322FB,1,VBCAUAAITLZ024~1 1/2,1 1/2,"- BAGKCN BALL VALVE; ASME CL 150; FLGD RF; SS; LVR HDL OPR; FULL PORT  - OE Status  0 CUST TAG: FB8:L25BH3AF - L25BH3AF 1 1/2""",1,ea,1,VALVES / IN-LINE ITEMS,322FB,,-,FB8,1,None,,
PIPING/FIELD/J04/323FA,1,VBCAUAAITLZ024~1 1/2,1 1/2,"- BAGKCN BALL VALVE; ASME CL 150; FLGD RF; SS; LVR HDL OPR; FULL PORT  - OE Status  0 CUST TAG: FB8:L25BH3AF - L25BH3AF 1 1/2""",1,ea,1,VALVES / IN-LINE ITEMS,323FA,,-,FB8,1,None,,
PIPING/FIELD/J04/323FB,1,VBCAUAAITLZ024~1 1/2,1 1/2,"- BAGKCN BALL VALVE; ASME CL 150; FLGD RF; SS; LVR HDL OPR; FULL PORT  - OE Status  0 CUST TAG: FB8:L25BH3AF - L25BH3AF 1 1/2""",1,ea,1,VALVES / IN-LINE ITEMS,323FB,,-,FB8,1,None,,
PIPING/FIELD/J04/325FA,1,VBCAUAAITLZ024~2,2,"- BAGKCN BALL VALVE; ASME CL 150; FLGD RF; SS; LVR HDL OPR; FULL PORT  - OE Status  0 CUST TAG: FB8:L25BH3AF - L25BH3AF 2""",1,ea,1,VALVES / IN-LINE ITEMS,325FA,,-,FB8,1,None,,
PIPING/FIELD/J04/325FB,1,VBCAUAAITLZ024~3/4,4-Mar,"- BAGKCN BALL VALVE; ASME CL 150; FLGD RF; SS; LVR HDL OPR; FULL PORT  - OE Status  0 CUST TAG: FB8:L25BH3AF - L25BH3AF 3/4""",1,ea,1,VALVES / IN-LINE ITEMS,325FB,,-,FB8,1,None,,
PIPING/FIELD/J04/325FC,1,PLCCKBAAZZIAFZ~2,2,"- STRNR CONE; FLGD RF; 0.125 IN. PERF 304SS SCRN; CL 150; SS ASTM A240-304 2""",1,ea,1,VALVES / IN-LINE ITEMS,325FC,,-,FB8,1,None,,
PIPING/FIELD/J04/326FA,1,VBCAUAAITLZ024~2,2,"- BAGKCN BALL VALVE; ASME CL 150; FLGD RF; SS; LVR HDL OPR; FULL PORT  - OE Status  0 CUST TAG: FB8:L25BH3AF - L25BH3AF 2""",1,ea,1,VALVES / IN-LINE ITEMS,326FA,,-,FB8,1,None,,
PIPING/FIELD/J04/326FB,1,VBCAUAAITLZ024~3/4,4-Mar,"- BAGKCN BALL VALVE; ASME CL 150; FLGD RF; SS; LVR HDL OPR; FULL PORT  - OE Status  0 CUST TAG: FB8:L25BH3AF - L25BH3AF 3/4""",1,ea,1,VALVES / IN-LINE ITEMS,326FB,,-,FB8,1,None,,
PIPING/FIELD/J04/326FC,1,PLCCKBAAZZIAFZ~2,2,"- STRNR CONE; FLGD RF; 0.125 IN. PERF 304SS SCRN; CL 150; SS ASTM A240-304 2""",1,ea,1,VALVES / IN-LINE ITEMS,326FC,,-,FB8,1,None,,
PIPING/FIELD/J04/327F,1,1792-TW-1081~1 1/2,1 1/2,"- THERMOWELL BY INSTRUMENTS    - OE Status in model  1 - OE Status in catalog  3 1792 TW 1081 1 1/2""",1,ea,1,VALVES / IN-LINE ITEMS,327F,,-,FB8,1,None,,
PIPING/FIELD/J04/328FA,1,VCCBUAAINZZ007~1 1/2,1 1/2,"- CAGCBD CHECK VALVE; ASME CL 150; FLGD RF; SS  - OE Status  0 CUST TAG: FB8:L22BH3PQ - L22BH3PQ 1 1/2""",1,ea,1,VALVES / IN-LINE ITEMS,328FA,,-,FB8,1,None,,
PIPING/FIELD/J04/328FB,1,VBCAUAAITLZ024~3/4,4-Mar,"- BAGKCN BALL VALVE; ASME CL 150; FLGD RF; SS; LVR HDL OPR; FULL PORT  - OE Status  0 CUST TAG: FB8:L25BH3AF - L25BH3AF 3/4""",1,ea,1,VALVES / IN-LINE ITEMS,328FB,,-,FB8,1,None,,
PIPING/FIELD/J04/328FC,1,1792-PI-10170~3/4,4-Mar,"- PRESSURE INDICATOR BY INSTRUMENTS    - OE Status in model  3 - OE Status in catalog  3 1792 PI 10170 3/4""",1,ea,1,VALVES / IN-LINE ITEMS,328FC,,-,FB8,1,None,,
PIPING/FIELD/J04/329F,1,VBCAUAAITLZ024~1 1/2,1 1/2,"- BAGKCN BALL VALVE; ASME CL 150; FLGD RF; SS; LVR HDL OPR; FULL PORT  - OE Status  0 CUST TAG: FB8:L25BH3AF - L25BH3AF 1 1/2""",1,ea,1,VALVES / IN-LINE ITEMS,329F,,-,FB8,1,None,,
