,,,,,,Piping Line List,,,,,,,
,,,,,,: Total Drawing,,,,,,,
,,,,,,: Total Spools,,,,,,,
,,,,,Client Name: SASOL,: Hold,,,,,,,
,,,,,Job No: 6112,: Issued,,,,,,,
,,,,,Project Title:  EO-EG / A.G.,: Spools not Issued for fab.,,,,,,,
,,,,,,: Average Spools Per Drawing,,,,,,,
,,,,,,: Percent Complete,,,,,,,
0,0,,,,,,,,,,,,
In Detailing,In Checking,Priority Group,Priority #,Area,Line No.,Spool ID,Material,ISO,SPOOL,Shop,Status,HOLD,0
ISS,ISS,,Wash Tower,15X,"18""-XK-020-1120-B135-40-N",MK-02015X-1120-D03B,SS,48,48-B,M,10/11/2016,,
ISS,ISS,,Wash Tower,15X,"3""-DN-020-1207-A135-01-P",MK-02015X-1207-D01A,SS,49,49-A,M,10/11/2016,,
ISS,ISS,,Wash Tower,15X,"3""-DN-020-1208-A135-01-P",MK-02015X-1208-004A,SS,50,50-A,M,10/11/2016,,
ISS,ISS,,Wash Tower,15X,"3""-DN-020-1208-A135-01-P",MK-02015X-1208-D01A,SS,51,51-A,M,10/11/2016,,
ISS,ISS,,Wash Tower,15X,"3""-DN-020-1208-A135-01-N",MK-02015X-1208-D02A,SS,52,52-A,M,10/11/2016,,
ISS,ISS,,Wash Tower,15X,"3""-DN-020-1208-A135-01-N",MK-02015X-1208-D02B,SS,52,52-B,M,10/11/2016,,
ISS,ISS,,Wash Tower,15X,"3""-DN-020-1208-A135-01-N",MK-02015X-1208-D03A,SS,53,53-A,M,10/12/2016,,
ISS,ISS,,Wash Tower,15X,"3""-DN-020-1208-A135-01-N",MK-02015X-1208-D03B,SS,53,53-B,M,10/12/2016,,
ISS,ISS,,Wash Tower,15X,"38""-HL-020-1278-B135-40-H",MK-02015X-1278-D01A,SS,54,54-A,M,10/12/2016,,
ISS,ISS,,Wash Tower,15X,"38""-HL-020-1278-B135-40-H",MK-02015X-1278-D01B,SS,54,54-B,M,10/12/2016,,
ISS,ISS,,Wash Tower,15X,"38""-HL-020-1278-B135-40-H",MK-02015X-1278-D01C,SS,54,54-C,M,10/12/2016,,
ISS,ISS,,Wash Tower,15X,"38""-HL-020-1279-B135-40-H",MK-02015X-1279-D01A,SS,55,55-A,M,10/12/2016,,
ISS,ISS,,Wash Tower,15X,"38""-HL-020-1279-B135-40-H",MK-02015X-1279-D01B,SS,55,55-B,M,10/12/2016,,
ISS,ISS,,Wash Tower,15X,"38""-HL-020-1279-B135-40-H",MK-02015X-1279-D01C,SS,55,55-C,M,10/12/2016,,
ISS,ISS,,Wash Tower,15X,"3""-WX-020-2080-B135-40-H",MK-02015X-2080-D01A,SS,56,56-A,M,10/12/2016,,
ISS,ISS,,Wash Tower,15X,"3""-WX-020-2080-B135-40-H",MK-02015X-2080-D02A,SS,57,57-A,M,10/12/2016,,
ISS,ISS,,Wash Tower,15X,"3""-WX-020-2080-B135-40-H",MK-02015X-2080-D02B,SS,57,57-B,M,10/12/2016,,
ISS,ISS,,Wash Tower,15X,"3""-WX-020-2080-B135-40-H",MK-02015X-2080-D02C,SS,57,57-C,M,10/12/2016,,
ISS,ISS,,Wash Tower,15X,"3""-WX-020-2080-B135-40-H",MK-02015X-2080-D02D,SS,57,57-D,M,10/12/2016,,
ISS,ISS,,Wash Tower,15X,"3""-WX-020-2080-B135-40-H",MK-02015X-2080-D03A,SS,58,58-A,M,10/12/2016,,
ISS,ISS,,Wash Tower,15X,"3""-WX-020-2080-B135-40-H",MK-02015X-2080-D03B,SS,58,58-B,M,10/12/2016,,
ISS,ISS,,Wash Tower,15X,"3""-WX-020-2080-B135-40-H",MK-02015X-2080-D03C,SS,58,58-C,M,10/12/2016,,
ISS,ISS,,Wash Tower,15X,"3""-WX-020-2080-B135-40-H",MK-02015X-2080-D03D,SS,58,58-D,M,10/12/2016,,
ISS,ISS,,1B,01X,"3""-BD-020-1054-B135-40-N",MK-02001X-1054-001A,SS,59,59-A,BR,1/31/2017,,
ISS,ISS,,1,01X,"3""-BD-020-1054-B135-40-N",MK-02001X-1054-001B,SS,59,59-B,BR,11/10/2016,,
ISS,ISS,,1,01X,"3""-BD-020-1054-B135-40-N",MK-02001X-1054-002A,SS,60,60-A,BR,11/10/2016,,
ISS,ISS,,1,01X,"3""-BD-020-1054-B135-40-N",MK-02001X-1054-002B,SS,60,60-B,BR,11/17/2016,,
ISS,ISS,,1,01X,"3""-BD-020-1054-B135-40-N",MK-02001X-1054-003A,SS,61,61-A,BR,11/10/2016,,
ISS,ISS,,1,01X,"3""-BD-020-1054-B135-40-N",MK-02001X-1054-003B,SS,61,61-B,BR,11/10/2016,,
ISS,ISS,,1,01X,"3""-BD-020-1054-B135-40-N",MK-02001X-1054-003C,SS,61,61-C,M,11/10/2016,,
ISS,ISS,,1,01X,"18""-XK-020-1217-B135-40-H",MK-02001X-1217-001A,SS,62,62-A,M,11/8/2016,,
ISS,ISS,,1,01X,"18""-XK-020-1217-B135-40-H",MK-02001X-1217-001B,SS,62,62-B,M,11/8/2016,,
