FORECAST JOB: 6951 , FORECAST RUN: MAX,,,,,,,,,,,,,,,,,,
BOM PATH, STATUS, POS, TAG NUMBER, SIZE, LIST QUANTITY, UNIT, TRANSMITTL, STATUS, WAREHOUSE, PO NUMBER, VENDOR, PRED ON SITE, GROUP-PERF, SKETCH, PRIORITY,PERCENTAGE COMPLETE,CLIENT-REV,SPEC,CWP
PIPING/6951/14B/631-A,Completed with Current Inventory.,1,CPP0AMT8~16,16,14.9,ft,84,Complete,"MAIN PA WAREHOUSE,PORT ALLEN SHOP", , , ,PIPE,6951-631-A,7,100%,0,G1U-4-TP1,14B
PIPING/6951/14B/631-A,Completed with Current Inventory.,1,CPP0AMT8~16,16,14.9,ft,84,Complete,"MAIN PA WAREHOUSE,PORT ALLEN SHOP", , , ,PIPE,6951-631-A,7,100%,0,G1U-4-TP1,14B
PIPING/6951/14B/631-A,Completed with Current Inventory.,2,CPP0AATK~12,12,20.4,ft,84,Complete,MAIN PA WAREHOUSE, , , ,PIPE,6951-631-A,7,100%,0,G1U-4-TP1,14B
PIPING/6951/14B/631-A,Completed with Current Inventory.,3,CBR8PVC9~16X12,16X12,1,ea,84,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,6951-631-A,7,100%,0,G1U-4-TP1,14B
PIPING/6951/14B/631-A,Completed with Current Inventory.,4,CLMV7BE~16X12,16X12,1,ea,84,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,6951-631-A,7,100%,0,G1U-4-TP1,14B
PIPING/6951/14B/631-A,Completed with Current Inventory.,5,PS109-16-16-F_631-A~16,16,1,ea,84,Complete,MAIN PA WAREHOUSE, , , ,SUPPORTS,6951-631-A,7,100%,0,G1U-4-TP1,14B
PIPING/6951/14B/631-A,Completed with Current Inventory.,6,PS109-12-16-F_631-A~12,12,1,ea,84,Complete,MAIN PA WAREHOUSE, , , ,SUPPORTS,6951-631-A,7,100%,0,G1U-4-TP1,14B
PIPING/6951/30B/305-A,Completed with Current Inventory.,1,PS108-12-18-4_305-A~12,12,1,ea,58,Complete,MAIN PA WAREHOUSE, , , ,SUPPORTS,6951-305-A,9,100%,0,G3A-3,30B
PIPING/6951/30B/305-A,Completed with Current Inventory.,2,C1XJ1K5X~12,12,1,ea,58,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,6951-305-A,9,100%,0,G3A-3,30B
PIPING/6951/30B/305-A,Completed with Current Inventory.,3,CPPF2LL2~12,12,18.4,ft,58,Complete,"MAIN PA WAREHOUSE,PORT ALLEN SHOP", , , ,PIPE,6951-305-A,9,100%,0,G3A-3,30B
PIPING/6951/30B/305-A,Completed with Current Inventory.,3,CPPF2LL2~12,12,18.4,ft,58,Complete,"MAIN PA WAREHOUSE,PORT ALLEN SHOP", , , ,PIPE,6951-305-A,9,100%,0,G3A-3,30B
PIPING/6951/30B/305-B,Completed with Current Inventory.,1,CFGFEEN3~12,12,1,ea,58,Complete,MAIN PA WAREHOUSE, , , ,FLANGES,6951-305-B,9,100%,0,G3A-3,30B
PIPING/6951/30B/305-B,Completed with Current Inventory.,2,C1XJ1JUV~12,12,1,ea,58,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,6951-305-B,9,100%,0,G3A-3,30B
PIPING/6951/30B/305-B,Completed with Current Inventory.,3,CFGFEEN3~12,12,1,ea,58,Complete,MAIN PA WAREHOUSE, , , ,FLANGES,6951-305-B,9,100%,0,G3A-3,30B
PIPING/6951/30B/305-B,Completed with Current Inventory.,4,C1XJ1JUV~12,12,1,ea,58,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,6951-305-B,9,100%,0,G3A-3,30B
PIPING/6951/30B/305-B,Completed with Current Inventory.,5,CPPF2LL2~12,12,4,ft,58,Complete,MAIN PA WAREHOUSE, , , ,PIPE,6951-305-B,9,100%,0,G3A-3,30B
PIPING/6951/30B/305-B,Completed with Current Inventory.,6,C1XJ1KGU~12X12,12X12,1,ea,58,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,6951-305-B,9,100%,0,G3A-3,30B
PIPING/6951/31A/343-A,Completed with Current Inventory.,1,CPPK8JPL~6,6,1.2,ft,224,Complete,PORT ALLEN SHOP, , , ,PIPE,6951-343-A,17,100%,1,G6A-1,31A
PIPING/6951/31A/343-A,Completed with Current Inventory.,2,CLTDKLW5~6X3/4,6X3/4,1,ea,224,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,6951-343-A,17,100%,1,G6A-1,31A
PIPING/6951/31A/343-A,Completed with Current Inventory.,3,CMLZZRA~6,6,1,ea,224,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,6951-343-A,17,100%,1,G6A-1,31A
PIPING/6951/31A/343-A,Completed with Current Inventory.,4,CMLZZRA~6,6,1,ea,224,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,6951-343-A,17,100%,1,G6A-1,31A
PIPING/6951/31A/343-A,Completed with Current Inventory.,5,C2JN2EG~3/4,4-Mar,1,ea,224,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,6951-343-A,17,100%,1,G6A-1,31A
PIPING/6951/31A/343-A,Completed with Current Inventory.,6,CPNEG3~6,6,1,ea,224,Complete,MAIN PA WAREHOUSE, , , ,FLANGES,6951-343-A,17,100%,1,G6A-1,31A
PIPING/6951/31A/343-A,Completed with Current Inventory.,7,CPNEG3~6,6,1,ea,224,Complete,MAIN PA WAREHOUSE, , , ,FLANGES,6951-343-A,17,100%,1,G6A-1,31A
PIPING/6951/31A/343-A,Completed with Current Inventory.,8,C1HZCLMS~3/4,4-Mar,1,ea,224,Complete,MAIN PA WAREHOUSE, , , ,VALVES / IN-LINE ITEMS,6951-343-A,17,100%,1,G6A-1,31A
PIPING/6951/31A/343-A,Completed with Current Inventory.,9,PS101-6-8-4-2_343-A~6,6,1,ea,224,Complete,MAIN PA WAREHOUSE, , , ,SUPPORTS,6951-343-A,17,100%,1,G6A-1,31A
PIPING/6951/31A/344-A,Completed with Current Inventory.,1,C135SUU~2,2,6.4,ft,224,Complete,MAIN PA WAREHOUSE, , , ,PIPE,6951-344-A,17,100%,1,G6A-1,31A
PIPING/6951/31A/344-A,Completed with Current Inventory.,2,CR5RGX~2X3/4,2X3/4,1,ea,224,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,6951-344-A,17,100%,1,G6A-1,31A
PIPING/6951/31A/344-A,Completed with Current Inventory.,3,CKG3TG~2,2,1,ea,224,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,6951-344-A,17,100%,1,G6A-1,31A
PIPING/6951/31A/344-A,Completed with Current Inventory.,4,CKG3TG~2,2,1,ea,224,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,6951-344-A,17,100%,1,G6A-1,31A
PIPING/6951/31A/344-A,Completed with Current Inventory.,5,CKG3TG~2,2,1,ea,224,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,6951-344-A,17,100%,1,G6A-1,31A
